,N2,CO2,H2S,C1,C2,C3,C4,C5,C6,C7+,SG C7+,MW C7+,"T, ℉","Pb, psi"
183,0.08,0.08,0.0,42.92,7.58,5.86,4.33,2.11,3.88,33.17,0.889,312.0,200.0,3090.0
184,0.88,0.22,0.0,42.27,8.69,7.57,5.37,2.81,4.23,27.95,0.896,326.0,200.0,3367.0
185,0.09,2.51,0.03,44.35,9.87,7.48,4.58,2.28,4.77,24.04,0.823,245.0,266.0,3427.0
186,0.07,0.09,0.0,47.3,7.99,5.18,3.97,2.26,3.85,29.29,0.869,282.0,190.0,3467.0
187,0.2,0.03,0.0,44.85,7.55,5.41,4.51,1.99,3.99,31.47,0.903,331.0,200.0,3472.0
188,0.09,5.53,3.4,54.17,3.05,1.75,1.63,1.17,2.1,27.11,0.846,269.0,226.0,3528.0
189,0.11,0.03,0.0,45.73,7.91,5.34,4.05,2.16,3.83,30.83,0.865,245.0,190.0,3560.0
190,0.1,0.28,0.0,48.16,8.28,5.64,4.31,2.53,3.73,26.98,0.872,301.0,190.0,3598.0
191,0.11,0.69,0.0,40.77,7.3,4.56,3.86,2.6,4.01,36.11,0.874,190.0,225.0,3678.0
192,0.08,2.02,0.42,48.91,9.14,6.19,4.45,2.07,3.23,23.5,0.837,253.0,274.9,3722.0
193,0.04,1.82,0.02,48.68,9.18,5.53,3.08,2.7,3.82,25.13,0.802,179.0,287.0,3724.0
194,0.1,1.82,0.0,45.49,10.02,6.08,4.27,2.45,3.87,25.9,0.85,238.0,265.0,3746.0
195,0.14,1.29,0.0,56.25,10.41,6.23,3.93,1.64,3.26,16.86,0.792,181.0,172.9,3832.0
196,0.01,2.15,0.0,48.41,9.44,6.23,4.5,2.5,3.17,23.6,0.807,180.0,273.0,3888.0
197,0.06,0.18,0.0,48.43,8.06,5.26,3.76,2.43,3.72,28.1,0.865,235.0,225.0,4030.0
198,0.09,2.15,0.01,48.68,9.06,5.94,4.33,2.72,3.58,23.44,0.838,245.0,270.0,4036.0
199,1.85,1.87,0.63,49.07,5.82,4.1,3.9,1.4,4.07,27.3,0.861,241.0,183.0,4042.0
200,0.07,1.87,0.22,45.71,7.87,5.02,4.01,4.29,5.22,25.74,0.847,297.0,289.0,4068.0
201,0.11,2.22,0.3,57.99,8.74,4.84,3.49,2.36,3.31,16.64,0.84,294.0,286.0,4631.0
202,0.24,1.4,0.0,56.47,8.5,5.19,3.81,2.32,2.67,19.4,0.863,247.0,229.0,4966.0
203,0.09,5.53,3.4,54.17,3.05,1.75,1.63,1.17,2.1,27.11,0.846,269.0,207.0,5295.0
204,5.86,8.29,1.5,57.86,5.04,2.83,2.07,1.62,2.33,12.61,0.805,208.0,290.0,5919.0
205,0.99,1.18,0.0,60.59,6.11,3.0,2.35,1.13,3.76,20.89,0.848,268.0,254.4,6006.0
206,0.45000000000000007,1.6399999999999997,0.0,45.85,7.15,6.74,3.95,2.68,2.52,29.020000000000003,0.8753341481221121,235.68814610613367,237.74,3707.17128
207,0.45402877697841726,1.6581294964028774,0.0,49.429568345323744,7.351438848920864,6.531510791366905,3.7274100719424457,2.4564028776978417,2.275251798561151,26.116258992805758,0.8752375226863356,235.58787215990475,237.74,4233.65922
208,0.4572667757774141,1.672700490998363,0.0,52.30653027823241,7.513338788870703,6.363944353518821,3.5485106382978726,2.276693944353519,2.078543371522095,23.782471358428808,0.8751427604398335,235.48953175570443,237.74,4760.1471599999995
209,0.45974281391830574,1.6838426626323753,0.0,54.50649016641454,7.6371406959152806,6.2358093797276855,3.411709531013616,2.1392738275340393,1.928124054462935,21.997866868381244,0.8750567311392189,235.40025404746297,237.74,5290.98624
210,0.4617114568599716,1.6927015558698724,0.0,56.25562942008485,7.735572842998582,6.133932107496462,3.302942008486562,2.0300141442715693,1.8085289957567183,20.578967468175385,0.8749776834064997,235.31822152635203,237.74,5801.52
211,0.4633333333333334,1.6999999999999997,0.0,57.69666666666667,7.816666666666666,6.05,3.2133333333333334,1.94,1.71,19.410000000000004,0.874903876794203,235.2416280267903,237.74,6281.595780000001
212,0.35,3.1400000000000006,0.0,54.26,8.57,5.72,3.2100000000000004,1.95,1.53,21.27,0.8366140209824833,199.02867889045606,238.73,4641.216
213,0.3554098808115731,3.0056546265126016,0.0,56.735020471294696,8.623197161313803,5.613605677372395,3.0729496861068153,1.8147529797106723,1.403769447729961,19.375640069147483,0.8364982036197999,198.9063965578886,238.73,5003.811
214,0.3585111130181069,2.928640693383678,0.0,58.153834205783916,8.653692611344718,5.552614777310564,2.994385136874625,1.737222174547327,1.3314073629108387,18.289691924826222,0.8364209922318396,198.82487520045302,238.73,5206.8642
215,0.36117982099267687,2.8623677786818553,0.0,59.37476810414971,8.67993490642799,5.500130187144019,2.9267778681855168,1.6705044751830755,1.2691375101708706,17.35519934906428,0.8363468143241758,198.74655665335493,238.73,5438.925
216,0.3632601075017527,2.8107073303731402,0.0,60.326499182051876,8.700391057100568,5.4592178857988625,2.874077276622264,1.6184973124561814,1.2205974916257694,16.62675235646958,0.8362832086822296,198.67940051992713,238.73,5627.4744
217,0.36494142385100636,2.7689546410333445,0.0,61.0957014118354,8.716924001201564,5.426151997596878,2.831483929107841,1.5764644037248428,1.1813667768098532,16.038011414839296,0.8362275797131162,198.62066632028822,238.73,5816.0238
218,0.3674377527133433,2.7069624742853096,0.0,62.23777186635455,8.741471235014545,5.377057529970917,2.768243597928638,1.5140561821664187,1.123119103355324,15.163880258210972,0.8361370167850115,198.52504813458432,238.73,6193.1226
219,0.45000000000000007,2.07,0.383,26.576,7.893999999999999,6.7299999999999995,5.384,4.442,3.351,42.72,0.8863554287222254,245.43008192883897,249.98,2114.6540400000004
220,0.036561585960351,1.6818329541761459,0.3111797205069874,38.09424764380891,7.7263568410789745,6.030549236269094,4.561910952226195,3.796555086122847,2.7226194345141375,34.70913227169321,0.8863554287222254,245.43008192883897,249.98,3272.05728
221,0.3375084377109428,1.5525388134703366,0.2872571814295357,41.93084827120678,7.670516762919072,5.79756993924848,4.288082202055051,3.5815645391134776,2.5133128328208203,32.0408010200255,0.8863554287222254,245.43008192883897,249.98,4010.3007000000002
